name,rating,Duration,Year,Genre,Gross_income
Atlantis: The Lost Empire,6.9,95,2001,Animation Action Adventure,84052762
Monty Python and the Holy Grail,8.2,91,1975,Adventure Comedy Fantasy,1229197
The Legend of Tarzan,6.2,110,2016,Action Adventure Drama,126643061
Gods of Egypt,5.4,127,2016,Action Adventure Fantasy,31153464
Black Crab,5.6,114,2022,Action Adventure Drama,31153464
Tomorrow Never Dies,6.5,119,1997,Action Adventure Thriller,125332007
Night at the Museum,6.4,108,2006,Adventure Comedy Family,250863268
Fantastic Mr. Fox,7.9,87,2009,Animation Adventure Comedy,21002919
Triple Frontier,6.4,125,2019,Action Adventure Crime,21002919
The Marksman,5.6,108,2021,Adventure Drama Thriller,21002919
X-Men: Dark Phoenix,5.7,113,2019,Action Adventure Sci-Fi,65845974
Despicable Me 3,6.2,89,2017,Animation Adventure Comedy,264624300
The Count of Monte Cristo,7.7,131,2002,Action Adventure Drama,54234062
Kong: Skull Island,6.6,118,2017,Action Adventure Fantasy,168052812
Van Helsing,6.0,131,2004,Action Adventure Fantasy,120177084
Furious 6,7.0,130,2013,Action Adventure Crime,238679850
Madagascar,6.9,86,2005,Animation Adventure Comedy,193595521
Valerian and the City of a Thousand Planets,6.4,136,2017,Action Adventure Fantasy,41189488
The Book of Eli,6.8,118,2010,Action Adventure Drama,94835059
Austin Powers: International Man of Mystery,7.0,89,1997,Adventure Comedy,53883989
Romancing the Stone,6.9,106,1984,Action Adventure Comedy,76572238
Hotel Transylvania,7.0,91,2012,Animation Adventure Comedy,148313048
Cars 2,6.2,106,2011,Animation Adventure Comedy,191452396
Maverick,7.0,127,1994,Action Adventure Comedy,101631272
National Treasure,6.9,131,2004,Action Adventure Mystery,173008894
John Carter,6.6,132,2012,Action Adventure Sci-Fi,73078100
Goldfinger,7.7,110,1964,Action Adventure Thriller,51081062
The Lost City of Z,6.6,141,2016,Adventure Biography Drama,8580410
Virgin Territory,4.7,97,2007,Adventure Comedy History,58884188
"Honey, I Shrunk the Kids",6.4,93,1989,Adventure Comedy Family,130724172
